,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
10,Unidentified Gang (Haiti),Unidentified Gang (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6992628,2020-03-11,HTI575,575,Battles,0,2,3,3,33,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 11 March 2020, south of Port-au-Prince, clashes between rival armed gangs were reported. No report of injured or fatalities.",Caribbean,Alterpresse,National,Armed clash,1,1584380267,2020
11,Rioters (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,Police Forces of Haiti (2011-),Government of Haiti (2011-),Haiti,6992625,2020-03-10,HTI573,573,Riots,0,1,5,7,57,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 10 March 2020, in Port-au-Prince, police demonstrated for the second day for their right to unionize. The police attacked cars and set fire to tires which they used as barricades as well as using tear gas on government buildings. [size=dozens]",Caribbean,Alterpresse,National,Violent demonstration,1,1584380267,2020
12,Protesters (Cuba),Police Forces of Cuba (1959-),Villa Clara,Santa Clara,,,,Cuba,6992640,2020-03-09,CUB34,34,Protests,0,1,6,1,16,192,CUB,22.4069,Santa Clara,-79.9647,"On 9 March 2020, in Santa Clara, Villa Clara, a number of artists and activists were arrested by the police when they were protesting against the arrest of a fellow artist on the 1st of March. [size=six]",Caribbean,CubaNet,National,Protest with intervention,1,1584380267,2020
13,Protesters (Cuba),Police Forces of Cuba (1959-),Habana,Habana,,,,Cuba,6992642,2020-03-09,CUB33,33,Protests,0,1,6,1,16,192,CUB,23.1330,Habana,-82.3830,"On 9 March 2020, in Habana, Cuba a number of protesters were arrested by the police. The protesters were protesting against the arrest of an artist on 1 March, other artists, activists and academics in Cuba who declared support for the protest were arrested as well. [size=no report]",Caribbean,CubaNet,National,Protest with intervention,1,1584380267,2020
14,Protesters (Dominican Republic),,Santo Domingo,Santo Domingo Este,,,,Dominican Republic,6992670,2020-03-09,DOM100,100,Protests,0,1,6,0,60,214,DOM,18.4719,Santo Domingo,-69.8923,"On 9 March 2020, in Santo Domingo, a group of protesters picketed in front of the federal courthouse to protest against the construction of a hotel. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1584380267,2020
15,Protesters (Guadeloupe),,Basse-Terre,Sainte-Rose,,Farmers (Guadeloupe),,Guadeloupe,6992725,2020-03-09,GLP14,14,Protests,0,1,6,0,60,312,GLP,16.3326,Sainte-Rose,-61.6969,"On 9 March 2020, in Sainte-Rose, Guadeloupe, farmers protested in front of the town hall over land disputes. [size=no report]",Caribbean,France Info,International,Peaceful protest,1,1584380267,2020
16,Rioters (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,Police Forces of Haiti (2011-),Government of Haiti (2011-); Judges (Haiti),Haiti,6992627,2020-03-09,HTI572,572,Riots,0,1,5,7,57,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 9 March 2020, in Port-au-Prince, police demonstrated for their right to unionize. Demonstrators attacked government cars, including one carrying a judge. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1584380267,2020
17,Protesters (Trinidad and Tobago),,Diego Martin,,,,,Trinidad and Tobago,6992938,2020-03-08,TTQ223,223,Protests,0,1,6,0,60,780,TTO,10.6887,Carenage,-61.5930,"On 8 March 2020, in Carnage (Diego Martin, Trinidad and Tobago) a group of protesters marched after a local resident was shot and killed. [size=no report]",Caribbean,Trinidad and Tobago Guardian,National,Peaceful protest,1,1584380267,2020
18,Unidentified Gang (Puerto Rico),Civilians (Puerto Rico),Caguas,,,,,Puerto Rico,6992717,2020-03-08,PRT252,252,Violence against civilians,2,2,3,7,37,630,PRI,18.3018,Lomas del Sol,-66.0913,"On 8 March 2020, near Lomas del Sol, in Caguas (Guaynabo), two men were shot and killed by unidentified perpetrators. Police suspects that it is linked to a narco group.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1584380267,2020
19,Unidentified Gang (Puerto Rico),Civilians (Puerto Rico),Caguas,,,,,Puerto Rico,6992719,2020-03-08,PRT251,251,Violence against civilians,0,1,3,7,37,630,PRI,18.2341,Caguas,-66.0485,"On 8 March 2020, in Caguas, a man was shot in front of his house from a vehicle. He was wounded but did not die.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1584380267,2020
20,400 Mawozo Gang,Civilians (Dominican Republic),Ouest,Croix-des-Bouquets,Ganthier,,,Haiti,6982938,2020-03-06,HTI481,481,Violence against civilians,1,1,3,7,37,332,HTI,18.5318,Ganthier,-72.0698,"On 6 March 2020, in Ganthier, Croix-des-Bouquets, a Dominican taxi driver was killed by members of the 400 Mawozo gang. Motive unknown. 1 fatality.",Caribbean,Le Nouvelliste,National,Attack,1,1583792127,2020
21,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Tunapuna/Piarco,,,,,Trinidad and Tobago,6983071,2020-03-06,TTQ222,222,Violence against civilians,1,1,3,7,37,780,TTO,10.6141,Piarco,-61.3510,"On 6 March 2020, in Piarco, Piarco, a man was killed in a drive-by shooting in the Oropune Gardens. Motive unknown. 1 fatality.",Caribbean,Trinidad and Tobago Guardian,National,Attack,1,1583792127,2020
22,Protesters (Puerto Rico),,Caguas,,,,,Puerto Rico,6982841,2020-03-06,PRT250,250,Protests,0,1,6,0,60,630,PRI,18.2341,Caguas,-66.0485,"On 6 March 2020, in Caguas, Caguas, three people staged a demonstration to demand separation between the Church and the State. [size=3]",Caribbean,El Vocero de Puerto Rico,National,Peaceful protest,1,1583792127,2020
23,Unidentified Armed Group (Haiti),Private Security Forces (Haiti),Nord,Cap-Haitien,Cap-Haitien,,,Haiti,6982940,2020-03-05,HTI480,480,Battles,1,1,3,8,38,332,HTI,19.7594,Cap-Haitien,-72.1982,"On 5 March 2020, in Cap-Haitien, Nord, a private security guard was shot dead by three armed people. Motive unknown. 1 fatality.",Caribbean,Le Nouvelliste,National,Armed clash,1,1583792127,2020
24,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Carolina,,,,LGBT (Puerto Rico),Puerto Rico,6982842,2020-03-05,PRT249,249,Violence against civilians,1,1,3,7,37,630,PRI,18.3947,Moca,-67.1137,"On 5 March 2020, in Moca, Puerto Rico, a transgender man was killed. LGBT organisations claimed it was a hate crime. 1 fatality.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1583792127,2020
25,Rioters (Jamaica),Civilians (Jamaica),Westmoreland,,,Vigilante Group (Jamaica),,Jamaica,6992838,2020-03-05,JAM171,171,Riots,1,1,5,7,57,388,JAM,18.2354,Darliston,-77.9754,"On 5 March 2020, in Darliston, Westmore, a vigiliante mob killed an alleged robber. [size=no report]",Caribbean,Loop News Jamaica,National,Mob violence,1,1584380267,2020
26,Unidentified Armed Group (Dominican Republic),Civilians (Dominican Republic),Santiago,Santiago de los Caballeros,,,,Dominican Republic,6982786,2020-03-04,DOM99,99,Violence against civilians,1,1,3,7,37,214,DOM,19.4517,Santiago de los Caballeros,-70.6970,"On 4 March 2020, in Santiago de los Caballeros, Santiago, a man was shot dead by unknown perpetrators in the Reparto Peralta sector of the Bella Vista neighbourhood. Motive unknown. 1 fatality.",Caribbean,El Nacional (Dominican Republic),National,Attack,1,1583792127,2020
27,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Las Piedras,,,,,Puerto Rico,6982845,2020-03-04,PRT248,248,Violence against civilians,0,2,3,7,37,630,PRI,18.1830,Las Piedras,-65.8663,"On 4 March 2020, at the level of Las Piedras, Las Piedras, on the PR-30 highway, armed people in a car shot and wounded a man in his car. No fatalities were reported.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1583792127,2020
28,Police Forces of Jamaica (2016-),Unidentified Gang (Jamaica),Kingston,,,,,Jamaica,6982944,2020-03-03,JAM170,170,Battles,0,1,1,3,13,388,JAM,17.9712,Kingston,-76.7928,"On 3 March 2020, in Kingston, Kingston, the police exchanged fire with two men affiliated with organised crime. They were both arrested.",Caribbean,Loop News Jamaica,National,Armed clash,1,1583792127,2020
29,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Chaguanas,,,,,Trinidad and Tobago,6983072,2020-03-03,TTQ221,221,Violence against civilians,1,2,3,7,37,780,TTO,10.5226,Enterprise,-61.3856,"On 3 March 2020, in Lendore Village, Enterprise, Chaguanas the body of a tied man was found. Three people were arrested. Motive unknown. 1 fatality.",Caribbean,Trinidad and Tobago Guardian,National,Attack,2,1583792127,2020
30,Unidentified Armed Group (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Petion-Ville,,,Haiti,6985240,2020-03-02,HTI571,571,Battles,1,1,3,1,13,332,HTI,18.5125,Petion-Ville,-72.2853,"On 2 March 2020, in Petion-Ville, armed individuals shot and killed a bailiff near the Peace court. 1 fatality.",Caribbean,Alterpresse,National,Armed clash,1,1583951163,2020
31,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Petion-Ville,,Labour Group (Haiti),Haiti,6982943,2020-03-02,HTI479,479,Violence against civilians,1,1,3,7,37,332,HTI,18.5125,Petion-Ville,-72.2853,"On 2 March 2020, in Petion Ville, Ouest, a bailiff was shot dead by unknown perpetrators in the proximities of the court. Motive unknown. 1 fatality.",Caribbean,Le Nouvelliste,National,Attack,1,1583792127,2020
32,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Diego Martin,,,,,Trinidad and Tobago,6983070,2020-03-02,TTQ219,219,Violence against civilians,1,1,3,7,37,780,TTO,10.6828,Dibe,-61.5362,"On 2 March 2020, in Dibe, Diego Martin, a man was shot dead in a car wash by three men in a car. Motive unknown. 1 fatality.",Caribbean,Trinidad and Tobago Guardian,National,Attack,1,1583792127,2020
33,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Sangre Grande,,,,,Trinidad and Tobago,6983073,2020-03-02,TTQ220,220,Violence against civilians,1,1,3,7,37,780,TTO,10.5871,Sangre Grande,-61.1301,"On 2 March 2020, in Sangre Grande, Sangre Grande, a man was shot dead by two men near his home. Motive unknown. 1 fatality.",Caribbean,Trinidad and Tobago Guardian,National,Attack,1,1583792127,2020
34,Protesters (Puerto Rico),,San Juan,,,Labour Group (Puerto Rico),,Puerto Rico,6982843,2020-03-02,PRT247,247,Protests,0,1,6,0,60,630,PRI,18.4663,San Juan,-66.1057,"On 2 March 2020, in San Juan, San Juan, hundreds of workers of the justice system staged a demonstration for better working and retirement conditions. [size=no report]",Caribbean,El Vocero de Puerto Rico,National,Peaceful protest,1,1583792127,2020
35,Unidentified Armed Group (Puerto Rico),Unidentified Gang (Puerto Rico),Ponce,,,,,Puerto Rico,6982844,2020-03-02,PRT246,246,Battles,0,1,3,3,33,630,PRI,18.0111,Ponce,-66.6141,"On 2 March 2020, in Ponce, Ponce, unknown perpetrators shot the house of a family involved in drug dealing. No fatalities were reported.",Caribbean,El Vocero de Puerto Rico,National,Armed clash,1,1583792127,2020
36,Police Forces of Cuba (1959-),Civilians (Cuba),Habana,Habana,,,LGBT (Cuba),Cuba,6992917,2020-03-01,CUB32,32,Violence against civilians,0,1,1,7,17,192,CUB,23.1330,Habana,-82.3830,"On 1 March 2020, in Habana, Cuba, a Cuban artist and his partner were prevented by the police to attend a protest for LGBT rights. The artist was arrested while the partner was beaten by the police.",Caribbean,ProtectDefenders.eu,Local partner-Other,Attack,1,1584380267,2020
37,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),San Juan,,,,,Puerto Rico,6982802,2020-03-01,PRT245,245,Violence against civilians,1,2,3,7,37,630,PRI,18.4663,San Juan,-66.1057,"On 1 March 2020, in Rio Piedras (San Juan), San Juan, the burnt body of a man was found in a car on fire. Bullets were found on the scene, but it was not clear whether the victim had been shot. Motive unknown. 1 fatality.",Caribbean,El Nuevo Dia (Puerto Rico),National,Attack,2,1583792127,2020
38,Unidentified Gang (Haiti),Unidentified Gang (Haiti),Grand'Anse,Jeremie,Jeremie,,,Haiti,6982939,2020-02-29,HTI477,477,Battles,0,1,3,3,33,332,HTI,18.6500,Jeremie,-74.1167,"On 1 March 2020, in Jeremie, Grand'Anse, two gangs exchanged fire in the Saint Helene and Platon neighbourhoods. Several people resulted wounded. No fatalities were reported.",Caribbean,Le Nouvelliste,National,Armed clash,1,1583792127,2020
39,Rioters (Haiti),Civilians (Haiti),Centre,Mirebalais,Mirebalais,Vigilante Group (Haiti),,Haiti,6982941,2020-02-29,HTI476,476,Riots,4,1,5,7,57,332,HTI,18.9248,Boucan Carre,-72.1475,"On 29 February 2019, in Boucan Carre, Centre, a crowd of residents lynched four people previously arrested for kidnapping in the Plateau Central neighbourhood. The mob took them out of their cells and set them on fire. 4 fatalities. [size=no report]",Caribbean,Le Nouvelliste,National,Mob violence,1,1583792127,2020
40,Base Krache Dife Gang,Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6982942,2020-02-29,HTI478,478,Violence against civilians,4,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 29 February 2019, in Port-au-Prince, Ouest, members of the Krache Dife gang shot four men dead. Motive unknown. 4 fatalities.",Caribbean,Le Nouvelliste,National,Attack,1,1583792127,2020
41,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),San Lorenzo,,,,,Puerto Rico,6972671,2020-02-29,PRT244,244,Violence against civilians,0,1,3,7,37,630,PRI,18.1894,San Lorenzo,-65.9610,"On 29 February 2020, in San Lorenzo, two men were shot and injured in a drive-by shooting.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1583178775,2020
42,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Siparia,,,,Women (Trinidad and Tobago); Labour Group (Trinidad and Tobago),Trinidad and Tobago,6982989,2020-02-27,TTQ218,218,Violence against civilians,0,1,3,7,37,780,TTO,10.1780,Guapo,-61.6472,"On 27 February 2020, in Guapo, Siparia, two armed men entered a shop and shot a woman who worked there. Reason unknown. No fatalities were reported.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1583792127,2020
43,Protesters (Dominican Republic),,Sint Eustatius,,,,,Caribbean Netherlands,6980217,2020-02-27,BES1,1,Protests,0,1,6,0,60,535,UNK,17.4830,Oranjestad,-62.9864,"On 27 February 2020 in Oranjestad, Sint Eustatius, nationals of the Dominican Republic protested against government corruption after the postponement of their municipal elections on February 16. [size=no report]",Caribbean,SXM Talks,Regional,Peaceful protest,1,1583333957,2020
44,Protesters (Dominican Republic),,Distrito Nacional,Santo Domingo,,,,Dominican Republic,6972626,2020-02-27,DOM98,98,Protests,0,1,6,0,60,214,DOM,18.4719,Santo Domingo,-69.8923,"On 27 February 2020 in Santo Domingo, hundreds of people staged in a protest demanding the resignation of the central electoral board (JCE) after the suspension of the municipal elections on February 16. [size=hundreds]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1583178775,2020
45,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Kingston,,,,Women (Jamaica),Jamaica,6972739,2020-02-26,JAM168,168,Violence against civilians,1,1,3,7,37,388,JAM,17.9970,Kingston,-76.7936,"On 26 February 2020, in Kingston, two teenage men escaped after they were discovered by police carrying a barrel containing the dead body of a woman that was bound on hands and feet.",Caribbean,Loop News Jamaica,National,Attack,2,1583178775,2020
46,Unidentified Gang (Jamaica),Civilians (Jamaica),Kingston,,,,,Jamaica,6972741,2020-02-26,JAM167,167,Violence against civilians,1,1,3,7,37,388,JAM,17.9970,Kingston,-76.7936,"On 26 February 2020, in Kingston, a man was shot and killed by two gunmen on the street. Police are investigating possible links to an ongoing feud between gangs from inner city communities known as 'Common' and 'Ackee Walk'.",Caribbean,Loop News Jamaica,National,Attack,1,1583178775,2020
47,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Westmoreland,,,,Private Security Forces (Jamaica),Jamaica,6972740,2020-02-25,JAM166,166,Violence against civilians,2,1,3,7,37,388,JAM,18.2684,Negril,-78.3481,"On 25 February 2020 in Negril, a security guard and his 18-year-old daughter were shot and killed by two gunmen in a shop.",Caribbean,Loop News Jamaica,National,Attack,1,1583178775,2020
48,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Hanover,,,,Labour Group (Jamaica),Jamaica,6972742,2020-02-25,JAM165,165,Violence against civilians,1,2,3,7,37,388,JAM,18.4510,Lucea,-78.1736,"On 24 or 25 February 2020, in Hanover outside Lucea, a school bus driver was shot and killed by a high school by two men on a motorcycle.",Caribbean,Loop News Jamaica,National,Attack,2,1583178775,2020
49,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Port of Spain,,,,,Trinidad and Tobago,6982990,2020-02-25,TTQ217,217,Violence against civilians,1,1,3,7,37,780,TTO,10.6667,Port of Spain,-61.5189,"On 25 February 2020, in Port of Spain, Port of Spain, three armed people shot at a crowd, wounding three people. One of the victims died four days later. Motive unknown. 1 fatality.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1583792127,2020
50,Rioters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,Police Forces of Haiti (2011-),,Haiti,6972738,2020-02-24,HTI419,419,Riots,0,1,5,0,50,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 24 February 2020, in Port-au-Prince, police officers and others demonstrated for a police union, setting up barricades on the main roads around the city. The Ministry of Justice and Security denounced the police action calling it an attempted coup d'etat. [size=no report]",Caribbean,Le Nouvelliste,National,Violent demonstration,1,1583178775,2020
51,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Toa Baja,,,,Women (Puerto Rico); LGBT (Puerto Rico),Puerto Rico,6972670,2020-02-24,PRT243,243,Violence against civilians,1,1,3,7,37,630,PRI,18.4438,Toa Baja,-66.2596,"On 24 February 2020, in Toa Baja, a homeless trans woman was shot and killed, after someone had called the police on her and published photos of her online going into the ladies' room. Four men were interrogated, suspected of killing her in a hate crime. One of the men was detained as he tried to leave the country.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1583178775,2020
52,Police Forces of Haiti (2011-),Military Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,Rioters (Haiti),,Haiti,6985244,2020-02-23,HTI417,417,Battles,3,1,1,1,11,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 23 February 2020, in Port-au-Prince, hundreds of people, including bikers, uniformed police, and hooded individuals demonstrated for a new police union and then destroyed carnival decorations in the city. The military arrived and there was a clash between military and police, with firearms, automatic rifles, Molotov cocktails, and tear gas. One police officer, one soldier and a civilian were killed and one about ten others were injured. [size=no report]",Caribbean,Alterpresse; Le Nouvelliste; ReliefWeb,Other-National,Armed clash,1,1583951172,2020
53,Rioters (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,Journalists (Haiti),Haiti,6972737,2020-02-23,HTI418,418,Riots,0,1,5,7,57,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 23 February 2020 in Port-au-Prince, a radio station was vandalized; vehicles set on fire and windows broken. This happened during the ongoing police demonstration was but is unclear if the events are linked. [size=no report]",Caribbean,Le Nouvelliste,National,Mob violence,1,1583178775,2020
54,Protesters (Dominican Republic),,Distrito Nacional,Santo Domingo,,PRSC: Social Christian Reformist Party,,Dominican Republic,6972625,2020-02-23,DOM97,97,Protests,0,1,6,0,60,214,DOM,18.4719,Santo Domingo,-69.8923,"On 23 February 2020 in Santo Domingo, thousands of people participated in a protest march called 'March for Democracy', organized by more than ten opposition parties. Participating in the march, the president of the Partido Reformista Social Cristiano (PRSC) said people are protesting impunity, debt, insecurity, unemployment and 'haitinization'. [size=thousands]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1583178775,2020
55,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Dorado,,,,,Puerto Rico,6941254,2020-02-22,PRT242,242,Violence against civilians,1,1,3,7,37,630,PRI,18.4588,Dorado,-66.2677,"On 22 February 2020 in Dorado, an unidentified man was found dead on the side of the road with gunshot wounds, gagged, and with hands and feet tied.",Caribbean,El Nuevo Dia (Puerto Rico),National,Attack,2,1582839952,2020
56,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Port of Spain,,,,,Trinidad and Tobago,6972862,2020-02-22,TTQ216,216,Violence against civilians,1,1,3,7,37,780,TTO,10.6667,Port of Spain,-61.5189,"On 22 February 2020, in Morvant, Port of Spain, a man was found dead at a playing field, his body was bloody and hands and feet were bound with rope.",Caribbean,Trinidad and Tobago Guardian,National,Attack,2,1583178775,2020
57,Protesters (Saint Kitts and Nevis),,Saint George Basseterre,,,SKNLP: Saint Kitts and Nevis Labour Party,,Saint Kitts and Nevis,6969353,2020-02-21,KNA1,1,Protests,0,1,6,0,60,659,KNA,17.2955,Basseterre,-62.7250,"On 21 February 2020 in Basseterre, about 80 people participated in a protest march staged by the Opposition Labour party, calling for elections to be held earlier than August. [size=about 80]",Caribbean,Times Caribbean Online,Regional,Peaceful protest,1,1582840376,2020
58,Protesters (Dominican Republic),,Distrito Nacional,Santo Domingo,,,,Dominican Republic,6939831,2020-02-21,DOM96,96,Protests,0,1,6,0,60,214,DOM,18.4719,Santo Domingo,-69.8923,"On 21 February 2020 in Santo Domingo, thousands of people protested against the electoral board for canceling the municipal elections after the automated voting system failed. [size=thousands]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839948,2020
59,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Delmas,,Former Government of Haiti (2011-),Haiti,6985238,2020-02-20,HTI570,570,Violence against civilians,0,1,3,7,37,332,HTI,18.5447,Delmas,-72.3028,"On 20 February 2020, in Delmas, Port-au-Prince, a former deputy was kidnapped and a ransom was asked by the kidnappers.",Caribbean,Alterpresse,National,Abduction/forced disappearance,1,1583951163,2020
60,Protesters (Martinique),,Fort-de-France,Fort-de-France,,Students (Martinique); Labour Group (Martinique),,Martinique,6946591,2020-02-20,MTQ26,26,Protests,0,1,6,0,60,474,MTQ,14.6037,Fort-de-France,-61.0742,"On 20 February 2020 in Fort-de-France, several thousands of people protested against pension and school reform. Many were students and education employees. [size=several thousand]",Caribbean,France Info,International,Peaceful protest,1,1582840214,2020
61,Protesters (Dominican Republic),,La Romana,La Romana,,,,Dominican Republic,6939822,2020-02-20,DOM77,77,Protests,0,1,6,0,60,214,DOM,18.4273,La Romana,-68.9729,"On 20 February 2020 in La Romana, there was a protest demanding the resignation of the electoral board for canceling the municipal elections on February 16 after the automated voting system failed. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1582839947,2020
